s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Species,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Sample Set,Source
Acar-191,191,2015-01-03,Lopé,Gabon,-0.19124,11.59327,Anopheles_carnevalei,Outdoors,Human Landing Catch,,Female,Wild caught adult,QIAGEN,Genomic DNA,ga,run2
Acar-192,192,2015-01-03,Lopé,Gabon,-0.19124,11.59327,Anopheles_carnevalei,Outdoors,Human Landing Catch,,Female,Wild caught adult,QIAGEN,Genomic DNA,ga,run2
Acar-193,193,2015-01-03,Lopé,Gabon,-0.19124,11.59327,Anopheles_carnevalei,Outdoors,Human Landing Catch,,Female,Wild caught adult,QIAGEN,Genomic DNA,ga,run2
Acar-194,194,2015-01-03,Lopé,Gabon,-0.19124,11.59327,Anopheles_carnevalei,Outdoors,Human Landing Catch,,Female,Wild caught adult,QIAGEN,Genomic DNA,ga,run2
Acar-195,195,2015-01-03,Lopé,Gabon,-0.19124,11.59327,Anopheles_carnevalei,Outdoors,Human Landing Catch,,Female,Wild caught adult,QIAGEN,Genomic DNA,ga,run2
VBS00001,1175-S01-0001,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,Anopheles_annularis,outdoor,cow-baited tent,23,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00002,1175-S01-0002,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,Anopheles_annularis,outdoor,cow-baited tent,24,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00003,1175-S01-0003,2013-07-23,Sayas,Cambodia,13.5476389,107.024555,Anopheles_annularis,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00004,1175-S01-0004,2013-07-22,Sayas,Cambodia,13.5476389,107.024555,Anopheles_annularis,outdoor,cow-baited tent,3,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00021,1175-S01-0021,2010-01-17,Thmar Da,Cambodia,12.155,102.735,Anopheles_barbirostris,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00022,1175-S01-0022,2010-01-17,Thmar Da,Cambodia,12.155,102.735,Anopheles_barbirostris,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00023,1175-S01-0023,2009-12-07,Thmar Da,Cambodia,12.155,102.735,Anopheles_barbirostris,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00024,1175-S01-0024,2009-12-07,Thmar Da,Cambodia,12.155,102.735,Anopheles_barbirostris,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00025,1175-S01-0025,2010-01-17,Thmar Da,Cambodia,12.155,102.735,Anopheles_barbirostris,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00048,1175-S01-0048,2009-11-20,Thmar Da,Cambodia,12.155,102.735,Anopheles_dirus_A,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00049,1175-S01-0049,2010-04-05,Thmar Da,Cambodia,12.155,102.735,Anopheles_dirus_A,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00050,1175-S01-0050,2010-05-05,Thmar Da,Cambodia,12.155,102.735,Anopheles_dirus_A,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00051,1175-S01-0051,2009-12-07,Thmar Da,Cambodia,12.155,102.735,Anopheles_dirus_A,outdoor,human landing catch,,Female,Wild caught adult,,WGA,kh,run2
VBS00053,1175-S01-0053,2013-08-07,Chean Mok,Cambodia,13.7698056,104.920388,Anopheles_aconitus,outdoor,cow-baited tent,4,Female,Wild caught adult,,WGA,kh,run2
VBS00055,1175-S01-0055,2013-08-06,Chean Mok,Cambodia,13.7698056,104.920388,Anopheles_aconitus,outdoor,cow-baited tent,2,Female,Wild caught adult,,WGA,kh,run2
VBS00059,1175-S01-0059,2009-12-06,Thmar Da,Cambodia,12.155,102.735,Anopheles_minimus_A,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00061,1175-S01-0061,2010-05-02,Thmar Da,Cambodia,12.155,102.735,Anopheles_minimus_A,outdoor,human landing catch,,Female,Wild caught adult,,WGA,kh,run2
VBS00082,1175-S01-0082,2010-01-19,Thmar Da,Cambodia,12.155,102.735,Anopheles_hyrcanus,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00083,1175-S01-0083,2010-01-21,Thmar Da,Cambodia,12.155,102.735,Anopheles_hyrcanus,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00084,1175-S01-0084,2010-02-24,Thmar Da,Cambodia,12.155,102.735,Anopheles_hyrcanus,outdoor,human landing catch,,Female,Wild caught adult,,WGA,kh,run2
VBS00085,1175-S01-0085,2009-11-23,Thmar Da,Cambodia,12.155,102.735,Anopheles_hyrcanus,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00086,1175-S01-0086,2009-12-06,Thmar Da,Cambodia,12.155,102.735,Anopheles_hyrcanus,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00107,1175-S01-0107,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,Anopheles_maculatus_A,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00108,1175-S01-0108,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,Anopheles_maculatus_A,outdoor,cow-baited tent,22,Female,Wild caught adult,,WGA,kh,run2
VBS00112,1175-S01-0112,2009-12-06,Thmar Da,Cambodia,12.155,102.735,Anopheles_rampae,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00113,1175-S01-0113,2010-02-26,Thmar Da,Cambodia,12.155,102.735,Anopheles_rampae,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
