s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Species
VBS00096,1175-S01-0096,2014-03-14,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,18,Female,Wild caught adult,,WGA,Anopheles_nigerrimus
VBS00097,1175-S01-0097,2014-05-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_nitidus
VBS00098,1175-S01-0098,2014-09-08,Chamkar San,Cambodia,13.595,106.995,outdoor,cow-baited tent,4,Female,Wild caught adult,,Genomic DNA,Anopheles_nitidus
VBS00099,1175-S01-0099,2014-09-09,Chamkar San,Cambodia,13.595,106.995,outdoor,cow-baited tent,3,Female,Wild caught adult,,Genomic DNA,Anopheles_nitidus
VBS00100,1175-S01-0100,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,22,Female,Wild caught adult,,WGA,Anopheles_nitidus
VBS00101,1175-S01-0101,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,19,Female,Wild caught adult,,Genomic DNA,Anopheles_nitidus
VBS00102,1175-S01-0102,2013-08-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,human landing catch,19,Female,Wild caught adult,,Genomic DNA,Anopheles_kochi
VBS00103,1175-S01-0103,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_kochi
VBS00104,1175-S01-0104,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,24,Female,Wild caught adult,,WGA,Anopheles_kochi
VBS00105,1175-S01-0105,2013-08-15,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,2,Female,Wild caught adult,,WGA,Anopheles_kochi
VBS00106,1175-S01-0106,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,4,Female,Wild caught adult,,Genomic DNA,Anopheles_kochi
VBS00107,1175-S01-0107,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_maculatus_A
VBS00108,1175-S01-0108,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,22,Female,Wild caught adult,,WGA,Anopheles_maculatus_A
VBS00109,1175-S01-0109,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,human landing catch,19,Female,Wild caught adult,,WGA,Anopheles_maculatus_A
VBS00110,1175-S01-0110,2013-08-15,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,2,Female,Wild caught adult,,WGA,Anopheles_maculatus_A
VBS00111,1175-S01-0111,2013-08-14,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,23,Female,Wild caught adult,,WGA,Anopheles_maculatus_A
VBS00112,1175-S01-0112,2009-12-06,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_rampae
VBS00113,1175-S01-0113,2010-02-26,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_rampae
VBS00114,1175-S01-0114,2010-02-26,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_rampae
VBS00115,1175-S01-0115,2010-02-26,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_rampae
VBS00116,1175-S01-0116,2010-03-21,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_rampae
VBS00117,1175-S01-0117,2013-08-14,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,WGA,Anopheles_karwari
VBS00118,1175-S01-0118,2013-08-14,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,22,Female,Wild caught adult,,WGA,Anopheles_karwari
VBS00119,1175-S01-0119,2013-08-14,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,3,Female,Wild caught adult,,WGA,Anopheles_karwari
VBS00120,1175-S01-0120,2013-08-12,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,24,Female,Wild caught adult,,WGA,Anopheles_karwari
VBS00121,1175-S01-0121,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,human landing catch,22,Female,Wild caught adult,,WGA,Anopheles_karwari
VBS00122,1175-S01-0122,2010-02-25,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_balabacensis
VBS00123,1175-S01-0123,2010-10-27,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_balabacensis
VBS00124,1175-S01-0124,2010-03-17,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_jamesii
VBS00125,1175-S01-0125,2013-08-06,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,,Female,Wild caught adult,,WGA,Anopheles_jamesii
VBS00126,1175-S01-0126,2010-10-24,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_jamesii
VBS00127,1175-S01-0127,2009-06-28,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_jamesii
VBS00128,1175-S01-0128,2009-06-28,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_jamesii
VBS00129,1175-S01-0129,2014-06-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,3,Female,Wild caught adult,,WGA,Anopheles_sinensis
VBS00130,1175-S01-0130,2014-05-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,4,Female,Wild caught adult,,WGA,Anopheles_sinensis
VBS00131,1175-S01-0131,2014-06-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,1,Female,Wild caught adult,,WGA,Anopheles_sinensis
VBS00132,1175-S01-0132,2014-05-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_sinensis
VBS00133,1175-S01-0133,2014-05-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,WGA,Anopheles_sinensis
VBS00134,1175-S01-0134,2013-08-06,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,24,Female,Wild caught adult,,WGA,Anopheles_splendidus
